id,name,bioguide_id,title,location,lat,lng,tags,bio,email,photo,status
1,Kris Mayes,,Attorney General,"Phoenix, AZ",33.4484,-112.074,"leadership,democracy,governance,voting-rights,electoral-reform,democratic",Kris works tirelessly as Attorney General to protect democratic norms and expand civic participation.,,kris-mayes.jpg,Incumbent
2,Rob Bonta,,Attorney General,"Sacramento, CA",38.5816,-121.4944,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Serving California as Attorney General, Rob champions democratic values and good governance.",,rob-bonta.jpg,Incumbent
3,Letitia James,,Attorney General,"Albany, NY",42.6526,-73.7562,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Serving New York as Attorney General, Letitia champions democratic values and good governance.",,letitia-james.jpg,Incumbent
4,Josh Kaul,,Attorney General,"Madison, WI",43.0731,-89.4012,"leadership,democracy,governance,voting-rights,electoral-reform,democratic","Josh serves as Attorney General for Wisconsin, working to strengthen democratic institutions and civic engagement.",,josh-kaul.jpg,Incumbent
5,Katie Hobbs,,Governor,"Phoenix, AZ",33.4484,-112.074,"leadership,democracy,governance,policy,state-leadership,democratic",Katie works tirelessly as Governor to protect democratic norms and expand civic participation.,,katie-hobbs.jpg,Incumbent
6,Michael Bennett,,Governor,"Denver, CO",39.7392,-104.9903,"leadership,democracy,governance,policy,state-leadership,democratic","Serving Colorado as Governor, Michael champions democratic values and good governance.",,michael-bennett.jpg,Challenger
7,Ned Lamont,,Governor,"Hartford, CT",41.7658,-72.6734,"leadership,democracy,governance,policy,state-leadership,democratic","Ned serves as Governor for Connecticut, working to strengthen democratic institutions and civic engagement.",,ned-lamont.jpg,Incumbent
8,JP Pritzker,,Governor,"Springfield, IL",39.7817,-89.6501,"leadership,democracy,governance,policy,state-leadership,democratic",JP works tirelessly as Governor to protect democratic norms and expand civic participation.,,jp-pritzker.jpg,Incumbent
9,Andy Beshear,,Governor,"Frankfort, KY",38.2009,-84.8733,"leadership,democracy,governance,policy,state-leadership,democratic","Serving Kentucky as Governor, Andy champions democratic values and good governance.",,andy-beshear.jpg,Incumbent
10,Wes Moore,,Governor,"Annapolis, MD",38.9784,-76.4922,"leadership,democracy,governance,policy,state-leadership,democratic","Serving Maryland as Governor, Wes champions democratic values and good governance.",,wes-moore.jpg,Incumbent
